content,score
Notifikasi gak penting hapus aja lah....... menuh-menuhin aja notifikasinya....... Lazada aja bisa......,1
terima kasih,5
Okay 🆗👍🏻 bosku..,5
"Aplikasi apaan, gangguan sistem mulu",1
ok,5
ok,5
Kerem,1
sangat puas pakai aplikasi Blibli untuk beli barang asli Ori tidk mengecewakan🔥,5
bagus...,5
"Selain harga produk yang lebih mahal, fitur Blibli Paylater yg sangat membantu malah tiba² dinonaktifkan, sedangkan saya selalu membayar tepat waktu 👎🏻",1
"ok bibli,,,, terus temani aku ya sampai bisa dapat motor baru lewat cashback bibli,,,,",5
kalau boleh ongkirnya di murahin lagi yaaa,5
serba murah di blibli,5
suka,5
mudaj dalam berbelanja,5
"mantap, dan tidak berat aplikasinya",5
mudah dan murah serta super komplit plit,5
mantul,5
mantapp sangat membantu,5
Semoga sesuai harapan,5
perbaikin Cs nya yaa,1
jgn beli elektronik do blibli saya beli elektronik di blibli rusakpecah ga mau tanggung jawab hati2,1
apk 👍bagusnya,5
sat set.. Ui nya jg gampang. bnyk fitur nya.,5
apk nya nggak bagus,1
keren cuma kurang banyak stok,5
"awal bikin pesanan agak bingung, karna kepingin pake bayar di tempat, tapi kalau pake promo nggak bisa bayar di tempat. akhirnya pilih tanpa promo🙏",5
"Aplikasi menjijikkan! Buang2 waktu orang! Dikira semua orang punya waktu buat ngikutin permainan sistem aplikasi gak matang begini? saya baru pertama pakai aplikasi ini, baru aja buat akun, order di toko official, nominal gak kecil ±70juta, order sesuai sistem, pakai ongkir yang paling mahal, tidak pakai voucher apapun kecuali voucher ongkir recehan yang terpasang otomatis, and guess what, transaksi gagal karena alasan MELANGGAR KEBIJAKAN. Saya chat CS, Responnya lemot dan lebih parah dari bot!!",1
dari toko oren pindah kesini...ternyata tidak perlu verifikasi lewat aplikasi lainnya,5
mantap,5
good,5
mantap,5
banyakin lagi promo nya ya,5
oks,5
Tolong diperbaiki masalah untuk bisa packing kayu,4
mantul,4
makin mantul bnyk potongan harga. wlo pengiriman nya lumayan lama dibanding apk lain,5
mantap der,5
APLIKASI MANTAP,5
"kalo bukan karena ada pembayaran kredit males banget belanja disini, dah harganya mahal, pengiriman lama, harga merk axio aja di oren 200rb masa disini 300rb, beda 100rb coy, mgkin potongan dari blibli nya yg bikin penjual menaikan harga barang,",1
Bisa belanja pembayaran apapun,5
bismillah hirohman nirohim,5
sangat lama handling complain,1
😁👍😁,5
good,5
"sblm uninstal, tinggalkan jejak dl & bintang 1...🤐🤐🤐",1
"jujur 100% lebih suka pelayanan aplikasi ini.. gak takut malah chat sama chatbot/ai, gak khawatir foto produk dengan yang datang itu pasti sama.",5
ga bisa beli perlengkapan vape,1
bagus,5
"Baru instal lagi, ternyata semakin bagus dan lengkap. tapi sayangnya barang yang dicari jumlahnya masih sedikit. Semoga kedepannya di aplilasi Blibli lebih banyak kelengkapan barangnya. terimakasih 👍",5
mudah dalam belanja,5
mantap,5
mencoba traveling,4
"dari beberapa market online, sistem retur dsni yang paling parah. produk exp dekat ko malah nyalahin yang tidak sesuai yg di aplikasi. padahal produk Mash segel. dan produk penyok yg di salahkan buyer juga",1
cukup bagus,5
so far so good,5
Perbanyak promo promo ya,5
"Pelayanan baik, cepat dan akurat, mudah digunakan semoga menambah keberkahan aamiin",5
mantap,5
"sangat baik, ulet, tekun dan bersahaja",5
"sangat mengecewakan, mau ganti no hp diakun ga bisa",1
good,5
baru pertama chekout di blibli,5
kenapa tidak bisa di download ???,1
lebih baik dari tokped,5
bagus banget,5
pengiriman nya lama,1
"ERROR Bae,gmn ini min",2
"mengecewakan, seklinya mengecewakan, akan selamanya saya ingat ni apk,",1
Gangguan mulu,1
aplikasi ribet mau dafta aja susahnya minta ampun harus ijin cookie,1
terjelek,1
ok,5
ribet amat ajukan payleter aja susah. uninstal aja. ribet,1
ribet belanja di blibli.,1
aplikasi keren,5
"pembatalan pesanan eror, padahal cuma mau ganti alamat, hubungi CS Antrian ke 51, lambat banget, 4 jam kali ini nunggu",1
"proses refund sulit, jgn berurusan sama refund, pasti lama baliknya. lgsung uninstall , bye",1
harga barang2 di sini mahal2,1
bagus,5
"Hanya di Blibli semua produk official store disimpan di gudang Blibli. Bagus kalau professional, tapi sayangnya tidak. Saya membeli deterjen cair merk ternama, dan saat dibuka aromanya tidak sama seperti biasanya (bikin mual) dan aromanya lemah. Berati penyimpanan di Gudang Blibli tidak berkualitas, sehingga produknya menjadi rusak kualitasnya.",2
aplikasi erorr,1
customer service lelet bener! antrian 1 aja sampe 20 menitan lebih gila gila!,1
kecewa sampai sekarang paket saya belum tiba dari tgl 5.05.26 sampai sekarang belum tiba tgl 14.05.26,1
nice olshop. gratis ongkir masih perlu dengan minimal blanja 150ribu.,5
transaksi mudah gk pake ribet djamin originalitasnya,5
buka awal selalu error beranda x gmna tuh,4
Sangat buruk 👎,1
"𝙖𝙣𝙚𝙝 𝙞𝙣𝙞 𝙖𝙥𝙡𝙞𝙠𝙖𝙨𝙞,𝙖𝙠𝙪𝙣 𝙨𝙖𝙮𝙖 𝙙𝙞 𝙗𝙡𝙤𝙠𝙞𝙧 𝙢𝙚𝙡𝙪𝙡𝙪 𝙠𝙖𝙧𝙚𝙣𝙖 𝙠𝙖𝙩𝙖𝙣𝙮𝙖 𝙖𝙙𝙖 𝙖𝙠𝙩𝙞𝙫𝙞𝙩𝙖𝙨 𝙢𝙚𝙣𝙘𝙪𝙧𝙞𝙜𝙖𝙠𝙖𝙣,𝙥𝙖𝙙𝙖𝙝𝙖𝙡 𝙠𝙪 𝙥𝙖𝙠𝙚 𝙗𝙚𝙡𝙖𝙣𝙟𝙖 𝙣𝙤𝙧𝙢𝙖𝙡 𝙖𝙟𝙖. 𝙩𝙚𝙧𝙖𝙝𝙞𝙧 𝙢𝙖𝙡𝙖𝙝 𝙜𝙖𝙠 𝙠𝙪 𝙜𝙪𝙣𝙖𝙞𝙣 𝙩𝙖𝙥𝙞 𝙙𝙞 𝙗𝙡𝙞𝙠𝙞𝙧 😂😂😂",1
"mantap blibli, produk dijamin ori dan cs sangat membantuuu",5
cakep,4
mudah DLAM pembayar meluai banyak metode pembayaranya,5
"Heran, ongkir mahal amat. dari tokopedia dan shopee beda sendiri. padahal ujung ujungnya juga pake kurir JNE dsb. payah lah.",1
"Sangat Luar Biasa BliBli. memberikan Limit Paylater yg sangat besar, dan Pinjaman dengan Limit sangat Besar, dan Tenor panjang sangat. Tidak ada aplikasi yang se-membantu ini. Sukses Selalu BliBli, Terima Kasih.",5
puas banget sekali pengajuan langsung bisa,5
saldo Blibli pocket saya tidak bisa ditarik dan di belanjakan,1
"aplikasi tolol, login doang dipersulit",1
"Kurang banget, barang dicancel sama penjual. akhirnya masuk ke saldo Blibli, mau tf ke debit/blu gabisa harus otp ke nomor lama yang udah ga kepake. sedangkan pas ganti nomor harus otp juga kenomor lama aneh banget User Experience nya, jelek banget. keluhan by chat kurang memuaskan, aneh nih aplikasi. kurang worth it deh. nyesel bertransaksi disini",1
mantap,5
"pengalaman pertama berbelanja di apk ini dan sangat mengecewakan, sejak awal sudah bermasalah dgn penjual karena sdh seminggu barang tdk di kirim2 mau di batalkan ngga bisa, di chat admin apk jawabannya hanya sabar2. sudah hampir masuk 3 minggu barang pesanan saya hanya stuck di barang sedang dalam pengiriman. jasa pengirimnya JNE jga ngga jelas, bisa2nya kasih keterangan paket gagal kirim oleh karena alamat krng jelas. klo alamat kurang jelas kan bisa kontak sya? jasa pengirim lain kok bisa?",1
baru pertama kali pk bli bli. tapi suka sih.,5
mantap,5
"2022 tuktam blibi aman 1 hr kirim kelar. skrg kerja sama laku6, gk dkirim² dr hr ke 1 g ada kurir dtg samsek pdhl alamat ada di apk. knp mesti wa². udh disuruh batalin tp gk dibatal²lin. Cs blibi jg lelet bgt ngetiknya berasa ngomong sm bot AI. klo sayang duit sm waktu jgn tuktam blibi skrg pk laku6 semua ecom jg pk itu. buruk bgt dr segala aspek",1
good,5
semoga bisa terus di layani belanja nya,5
good,5
"sangat baik, semoga cepat dan aman",5
barang lengkap disini,5
"kak, kalo bisa pengiriman nya ditambah lagi kak, soalnya di daerah saya adanya jnt dan spx kak , kalo ga ada pengiriman melalui itu ,ongkir nya mahal bgt.",4
Barang sudah gak di inginkan kembali lagi dikirim lagi.,1
bintang 5 Untung bli bli,5
terimakasih Blibli semoga semakin sukses,5
"aplikasi anak SD, masih bodo",1
mantab,5
mantap sekali,5
kadang lama kevukanya padahal mengunakan jarungan wifi dan app Blibli terlalu berat. bahkan produknya masih kurang lengkap,5
ok,5
pilih aplikasi lain jangan ini,1
apk buruk,1
ga ngerti ma apk nya ga bsa klau di sruh nyri. brang yng kita mau,2
aplikasi ga jelas gw pesen instant 4 Jam dri 2 hari lalu sampe skrng ga dpt dpt driver . bobrok sistem nya . jgn mau pake instant di sini lebih baik di aplikasi yg lain . alasannya lgi d cek di cek terus dri awal komplen sampe skrng ga sampe sampe itu barang gw dan blom dpt driver .,1
layanan cepat responsif cukup,5
User friendly banget,5
"gila cuma beli pulsa 16k 5k pakai cashback Blibli pay. dibagian checkout gopay kurang 11k tapi pas bayar yg disedot 14k. mahal bgt biaya playformnya, parahnya ""biaya platform"" berupa ""rahasia"" alias gak ada di bagian checkout biaya playform 30.000 pun gpp tapi ditulis di checkout supaya pembeli beli di aplikasi lain aja",1
"Bintang 5, pelayanan bagus🤗 cs nya baik hati dan sabar seluas samudera, terimakasih banyak sudah mendengar dan membantu segala keluh kesah❤️",5
tidak menjaga kepercayaan antara oenjual dan pembeli,1
mantul,5
woke,5
mantap,5
komisi ga valid padahal udh share link sampe pesanan selesai lho,1
membantu sekali,5
"Ribet belanja di blibli, alamatnya padahal dah betul dan no hp nya pun juga dah betul, tetapi malah tidak berhasil dikirim paketnya katanya karna alamatnya tidak lengkap, padahal saya belanja 2 kali di shopee aman aman aja tuh tak ada kendala sama sekali dengan menggunakan alamat dan no hp yg sama, dan jasa yg mengirim paket saya itu ialah JNE COD. Tolong perbaiki lagi biar kurir/penjual bisa membaca mengetahui dengan detail lengkap alamat lokasi pembeli agar tak terjadi lagi hal hal seperti ini",4
keren...,5
"jelek, bunga besar, ongkos kirim mahal dan pengiriman lama",1
sepi promo barang mahal2 ongkir mahal,3
Kenapa Setelah Update Aplikasi Tidak Dapat Diibuka?,5
udah susah dapet voucher.mana aplikasi minta update mulu tapi voucher ga pernah up,1
tolong pengiriman di percepat lagi kayak toko sebelah paling lama 3hari,3
"maaf gw uninstal. notif suara org ""BLIBLI"" itu ganggu bgt apalagi klo malem bikin org kaget",1
"cek profil malah gak bisa, hadeh",2
Tempat shopping paling aman terpercaya,5
nice,5
mantap,5
"ecommerce favorite saya setelah oren. ijo udah abis masanya, saatnya biru berjaya.",5
pakai wifi kok gangguan terus padahal pakek aplikasi oren lancar ini aplikasi emang gak mau di pakek kah ???,3
"jujur aplikasi e-commerce yg paling gak simple log-in nya, sering Reload jadi susah login",1
Sudah di ikuti indodana di gabungkan ke blibli..eeeh dari sini malah di persulit.. dulu masi tetep paylater dan dana tunai di indodana aman2 aja lancar.. bayar gak pernah telat juga setelah di gabungkan mau pengajuan baru di tolak2 trs... hrusnya di prioritaskan orang2 yang bayar sesuai gak pernah telat dan sebelum jatuh tempo gak malah gini mau pengajuan lagi ke tolak trs,1
Original dan bergaransi,5
setelah paket diterima kamu mendapatkan voucher 100.000 karena paket telat diteri. nyata cuma 10ribu dan ini sudah ke2xnya,2
untuk apanya tolong dong jngn kebanyakan bug. soal ganggu banget. padahal lagi pelajari setiap fitur bliblinya tapi kebanyakan bug. bikin kesel aja. perbaiki segera nanti saya ubah bintang nya,4
"blibli dzolim, penipu, pesanan tidak bisa dibatalkan karna transaksi pakai qris",5
"customer service antrian nya kyak ngantri sembako puluhan ribu orang, dari nomor 24 sampai ke 16 hampir 1 jam, lalu kalo sampai ke giliran saya butuh berapa jam lagi?",3
bolot,1
"baru install mau bikin akun malah ga bisa karena langsung ada peringatan ada aktivitas tidak biasa, laaaaah, baru juga download, aneh",1
PROSES RETURNYA LAMAAAAAAAAA BANGETTTTTGG,1
"TIDAK BIASA BLIBLI, ia Blibli barang mahal ongkir gede tidak ada jasa layanan paket ke pelosok terpencil ke slurh indo hanya sedikit hanya untuk kota besar saja,,iklan di mana ga rekomendasi Blibli ini👎",1
good seller and good Aplikasi smart Izzy recommended seller,5
kak minta bantuannya kak saya ada uang transaksi di bli bli yg dikembalikan cuman nomer yg saya pake di bli bli tidak terkait di bank apapun terus nomer nya mati juga ...untuk pengambilan uang saya gimana ya kak,5
ok,5
"pertama kali order order dibatalkan blibli karena stock kosong,dana kembali 5-10 hari aneh,bisa2nya toko yg mereka kelola sendiri stocknya ga update",1
pantesan sepi peminat product nya gk lengkap nama aja banyak,1
"kecewa berat dah, beli barang disini kirimnya lama pake bangettttt seharusnya tanggal 24 terus ganti tanggal 29, sekarang udah tanggal 29 tapi nggk ada tuh dikirim"" baru beli di apk nih, kalau nggak ada event"" gini mana mau beli di sini udah chat sallernya pun gitu lama balesnya, niat apa nggak dah ini jualan nya mohon ditingkatkan lagi ini kinerja nya",1
"Belanja di Blibli, banyak kecewanya. lebih dari 3x pesananku di batalkan otomatis, padahal aku ingin sekali beli barang tersebut. Kecewa kecewa kecewa",1
